file_name,signal_mean,signal_std,signal_skew,signal_kurtosis,zcr_mean,zcr_std,rmse_mean,rmse_std,tempo,spectral_centroid_mean,spectral_centroid_std,spectral_bandwidth_2_mean,spectral_bandwidth_2_std,spectral_bandwidth_3_mean,spectral_bandwidth_3_std,spectral_bandwidth_4_mean,spectral_bandwidth_4_std,spectral_contrast_1_mean,spectral_contrast_2_mean,spectral_contrast_3_mean,spectral_contrast_4_mean,spectral_contrast_5_mean,spectral_contrast_6_mean,spectral_contrast_7_mean,spectral_contrast_1_std,spectral_contrast_2_std,spectral_contrast_3_std,spectral_contrast_4_std,spectral_contrast_5_std,spectral_contrast_6_std,spectral_contrast_7_std,spectral_rolloff_mean,spectral_rolloff_std,mfccs_1_mean,mfccs_2_mean,mfccs_3_mean,mfccs_4_mean,mfccs_5_mean,mfccs_6_mean,mfccs_7_mean,mfccs_8_mean,mfccs_9_mean,mfccs_10_mean,mfccs_11_mean,mfccs_12_mean,mfccs_13_mean,mfccs_14_mean,mfccs_15_mean,mfccs_16_mean,mfccs_17_mean,mfccs_18_mean,mfccs_19_mean,mfccs_20_mean,mfccs_1_std,mfccs_2_std,mfccs_3_std,mfccs_4_std,mfccs_5_std,mfccs_6_std,mfccs_7_std,mfccs_8_std,mfccs_9_std,mfccs_10_std,mfccs_11_std,mfccs_12_std,mfccs_13_std,mfccs_14_std,mfccs_15_std,mfccs_16_std,mfccs_17_std,mfccs_18_std,mfccs_19_std,mfccs_20_std,chroma_stft_1_mean,chroma_stft_2_mean,chroma_stft_3_mean,chroma_stft_4_mean,chroma_stft_5_mean,chroma_stft_6_mean,chroma_stft_7_mean,chroma_stft_8_mean,chroma_stft_9_mean,chroma_stft_10_mean,chroma_stft_11_mean,chroma_stft_12_mean,chroma_stft_1_std,chroma_stft_2_std,chroma_stft_3_std,chroma_stft_4_std,chroma_stft_5_std,chroma_stft_6_std,chroma_stft_7_std,chroma_stft_8_std,chroma_stft_9_std,chroma_stft_10_std,chroma_stft_11_std,chroma_stft_12_std
blues.00000.wav,0.103,0.141,1.61,1.581,0.083,0.028,0.13,0.053,123.047,1762.245,357.264,1999.754,293.007,2503.46,265.124,2503.46,265.124,15.986,15.098,18.454,18.362,18.917,17.19,39.655,4.347,4.195,4.62,3.629,3.486,2.521,3.067,3776.03,946.947,-113.599,121.571,-19.162,42.364,-6.362,18.622,-13.7,15.34,-12.274,10.971,-8.326,8.802,-3.67,5.745,-5.163,0.752,-1.688,-0.409,-2.303,1.222,50.689,17.2,15.349,12.29,12.961,9.443,8.222,8.307,9.068,7.959,7.859,7.161,6.42,6.365,7.056,7.24,6.044,6.45,7.42,6.851,0.359,0.361,0.436,0.246,0.244,0.334,0.365,0.435,0.295,0.312,0.405,0.384,0.325,0.281,0.315,0.215,0.251,0.289,0.282,0.344,0.251,0.278,0.331,0.294
blues.00001.wav,0.076,0.108,1.772,2.337,0.056,0.038,0.096,0.049,107.666,1484.819,612.788,2022.408,468.142,2600.865,409.25,2600.865,409.25,15.985,17.06,19.134,19.188,18.327,17.505,37.509,4.193,4.61,4.814,4.281,3.509,3.131,5.83,3450.675,1752.059,-207.524,123.985,8.947,35.867,2.91,21.519,-8.557,23.371,-10.104,11.899,-5.559,5.378,-2.234,4.221,-6.011,0.929,-0.728,0.297,-0.282,0.531,88.143,23.662,23.924,16.27,16.732,12.505,14.17,11.94,12.889,10.216,10.255,9.808,8.054,8.553,7.241,7.439,7.761,6.938,7.149,6.767,0.463,0.348,0.321,0.21,0.205,0.335,0.402,0.561,0.382,0.256,0.286,0.336,0.378,0.293,0.308,0.228,0.214,0.316,0.286,0.367,0.292,0.233,0.278,0.267
blues.00002.wav,0.14,0.183,1.322,0.734,0.076,0.032,0.175,0.052,161.499,1536.134,393.396,1745.304,276.414,2288.138,267.081,2288.138,267.081,26.346,14.192,17.702,19.42,20.343,18.311,39.026,5.481,3.964,5.002,4.187,3.781,2.926,3.274,3015.123,884.529,-90.757,140.441,-29.085,31.687,-13.977,25.754,-13.665,11.634,-11.778,9.715,-13.125,5.791,-8.902,-1.08,-9.226,2.448,-7.725,-1.819,-3.44,-2.238,57.601,22.558,20.299,11.998,12.476,8.625,10.336,10.321,8.092,8.237,7.594,8.031,7.771,7.595,6.043,6.375,6.901,7.238,6.83,5.537,0.29,0.193,0.304,0.399,0.544,0.332,0.303,0.286,0.323,0.399,0.376,0.592,0.217,0.181,0.265,0.268,0.35,0.242,0.244,0.249,0.241,0.331,0.251,0.353
blues.00003.wav,0.115,0.162,1.428,1.331,0.033,0.021,0.141,0.08,172.266,1038.738,424.277,1582.557,409.197,2225.261,380.917,2225.261,380.917,29.784,14.766,17.239,18.634,18.491,16.787,34.265,5.082,4.061,4.222,3.316,3.327,2.301,4.657,2124.493,1213.155,-199.575,150.086,5.663,26.855,1.77,14.233,-4.828,9.287,-0.756,8.134,-3.2,6.078,-2.478,-1.082,-2.874,0.774,-3.324,0.636,-0.616,-3.405,74.218,21.361,16.035,12.584,16.37,11.261,12.488,9.015,9.607,8.449,10.501,6.944,7.535,7.889,7.184,6.666,7.086,6.109,6.104,5.654,0.341,0.409,0.526,0.549,0.657,0.512,0.356,0.252,0.245,0.311,0.313,0.382,0.25,0.238,0.326,0.305,0.346,0.306,0.237,0.202,0.215,0.291,0.279,0.336
blues.00004.wav,0.071,0.103,2.246,3.995,0.101,0.044,0.092,0.048,135.999,1792.418,590.923,1746.222,300.954,2207.166,219.33,2207.166,219.33,17.055,15.694,19.132,20.522,20.785,19.711,37.318,4.333,3.982,4.109,4.321,4.069,3.709,5.176,3524.776,1269.777,-160.354,126.209,-35.581,22.139,-32.474,10.851,-23.35,0.493,-11.797,1.204,-13.085,-2.81,-6.934,-7.554,-9.168,-4.516,-5.452,-0.916,-4.408,-11.704,72.105,29.211,18.277,13.92,18.342,11.613,9.659,11.168,11.401,9.986,8.958,9.297,9.463,8.421,8.704,9.273,8.676,7.323,7.93,7.429,0.193,0.323,0.387,0.246,0.195,0.526,0.236,0.141,0.276,0.329,0.555,0.258,0.197,0.326,0.308,0.266,0.177,0.357,0.198,0.181,0.301,0.232,0.36,0.209
blues.00005.wav,0.082,0.121,2.768,6.212,0.094,0.079,0.103,0.063,112.347,1788.979,1013.522,1724.67,453.402,2198.909,335.628,2198.909,335.628,17.47,19.561,21.29,21.344,20.78,19.404,37.948,4.797,5.36,5.526,4.86,4.096,3.432,6.77,3422.847,1817.201,-177.802,118.203,-17.571,30.761,-21.743,11.919,-20.734,3.185,-8.581,-0.933,-11.772,-2.409,-9.348,-9.943,-3.902,-5.575,-1.839,-2.789,-3.048,-8.11,85.484,56.526,25.576,22.038,20.815,16.322,13.027,11.563,13.123,10.006,8.75,8.877,8.95,6.895,7.747,8.519,8.287,6.517,6.309,6.803,0.235,0.298,0.617,0.237,0.125,0.245,0.28,0.412,0.241,0.283,0.283,0.366,0.285,0.214,0.383,0.169,0.143,0.278,0.259,0.338,0.231,0.279,0.283,0.309
blues.00006.wav,0.113,0.17,2.029,3.396,0.073,0.044,0.142,0.094,123.047,1417.94,669.041,1380.627,430.592,1790.115,417.3,1790.115,417.3,24.755,21.067,22.206,21.259,21.653,20.144,32.864,6.745,5.807,5.841,4.877,4.354,3.59,7.848,2740.096,1293.949,-190.069,130.27,-36.362,33.036,11.094,-0.592,-20.89,0.278,-6.496,-5.513,-7.847,-3.124,-6.603,-9.95,-6.543,-10.072,-10.919,-6.965,-3.439,-6.484,98.251,43.974,36.153,21.913,32.908,16.737,12.316,10.142,11.45,12.386,9.354,8.013,8.896,7.94,9.292,9.124,7.547,6.186,6.94,8.379,0.427,0.224,0.131,0.151,0.238,0.49,0.248,0.169,0.287,0.46,0.359,0.308,0.364,0.243,0.187,0.214,0.21,0.386,0.247,0.194,0.296,0.354,0.331,0.271
blues.00007.wav,0.105,0.151,2.07,3.251,0.061,0.043,0.132,0.074,92.285,1420.686,667.798,1570.929,411.099,2046.378,389.761,2046.378,389.761,20.204,20.094,20.707,19.631,20.71,19.603,36.1,4.558,4.594,5.004,4.575,4.05,3.271,5.772,2904.942,1270.386,-179.372,136.448,-26.663,39.965,5.311,10.919,-20.56,8.503,-11.35,-3.471,-8.416,-6.957,-3.546,-8.052,-8.965,-8.427,-10.564,-10.786,-4.695,-8.632,81.077,38.458,24.315,18.799,25.497,11.674,12.794,12.3,13.112,13.35,12.147,9.15,9.657,7.578,9.07,8.395,7.212,7.779,8.098,7.509,0.262,0.261,0.329,0.22,0.215,0.297,0.196,0.181,0.265,0.39,0.65,0.446,0.251,0.297,0.31,0.264,0.255,0.29,0.22,0.24,0.283,0.274,0.35,0.278
blues.00008.wav,0.115,0.148,1.357,0.691,0.064,0.027,0.142,0.039,83.354,1693.949,404.242,2026.531,324.481,2533.106,283.049,2533.106,283.049,29.493,15.136,17.019,17.03,19.696,17.624,40.605,5.133,4.042,4.473,3.431,3.791,2.511,2.699,3745.387,1120.863,-121.39,122.498,-14.735,46.122,-8.179,20.172,-19.172,23.037,-11.833,21.155,-6.723,6.99,-12.731,5.059,-5.186,-1.454,-7.043,2.694,3.41,-2.714,51.183,20.36,18.472,13.925,13.307,10.342,7.593,8.784,6.524,7.671,6.994,7.519,7.871,7.11,5.747,7.112,5.377,6.074,5.803,6.028,0.309,0.306,0.366,0.424,0.525,0.445,0.489,0.343,0.382,0.453,0.368,0.463,0.225,0.234,0.29,0.275,0.354,0.291,0.325,0.251,0.264,0.308,0.258,0.313
blues.00009.wav,0.065,0.105,2.306,4.995,0.079,0.037,0.081,0.066,129.199,1749.363,544.503,1959.516,330.751,2429.519,320.053,2429.519,320.053,14.334,17.637,21.931,20.236,18.563,18.905,36.491,4.059,4.577,4.861,4.013,3.614,4.158,5.32,3824.916,1163.175,-213.264,115.165,-11.698,39.015,-20.348,13.083,-9.183,9.017,-14.104,4.271,-6.051,3.786,0.223,-5.107,-0.41,-1.179,-1.915,-2.294,2.884,-4.234,78.313,28.254,25.867,18.733,23.065,16.681,11.245,8.244,10.493,9.623,9.212,10.218,8.738,9.243,10.197,7.702,7.646,9.117,8.777,9.563,0.247,0.273,0.486,0.268,0.181,0.269,0.222,0.415,0.273,0.181,0.229,0.24,0.294,0.292,0.39,0.246,0.217,0.33,0.216,0.382,0.27,0.219,0.303,0.275
